,0
0,https://turan.az/az/maliyye/kapitalbankin-manat-istiqrazlarina-abune-yazilisi-baslayib-781137
1,https://turan.az/az/siyaset/lacin-veliyev-hebsxanada-quru-acligi-aksiyanin-9-cu-gunu-dayandirib-781127
2,https://turan.az/az/cemiyyet/metronun-28-may-stansiyasinda-yasli-kisi-olub-781126
3,https://turan.az/az/siyaset/turkiye-polisi-socar-in-ofisine-hucumun-13-istirakcisini-saxlayib-781125
4,https://turan.az/az/siyaset/hebsde-olan-axcp-feali-acligi-dayandirib-781124
5,https://turan.az/az/foto-sessiyalar/azerbaycanda-usaqlarin-beynelxalq-mudafiesi-gunu-qeyd-olunur-781123
6,https://turan.az/az/siyaset/socar-in-istanbuldaki-ofisine-hucum-olub-781112
7,https://turan.az/az/siyaset/ferid-mehralizade-abzas-media-nin-isi-uzre-hebs-olunan-novbeti-sexs-oldu
8,https://turan.az/az/siyaset/mehkeme-tofiq-yaqublunun-hebs-muddetini-daha-20-gun-uzadib
9,https://turan.az/az/cemiyyet/bazar-gunu-azerbaycanda-hava-30-dereceye-qeder-isinecek
10,https://turan.az/az/siyaset/dsx-may-ayi-erzinde-faeliyyeti-haqqinda-hesabat-yayib
11,https://turan.az/az/siyaset/bir-hefte-erzinde-qarabagda-onlarla-avtomat-minlerle-patron-askar-olunub
12,https://turan.az/az/siyaset/abs-dovlet-katibi-blinkenin-serqi-avropaya-seferinin-yekunlarina-dair
13,https://turan.az/az/siyaset/avropali-deputatlar-azerbaycanli-memurlara-sanksiya-teleb-edir-781113
14,https://turan.az/az/cetin-sual/fransa-niye-azerbaycani-onun-eyaletlerini-qarisdirmaqda-ittiham-edir-elxan-sahinoglu-saat-1600-da-cetin-sualda-781105
15,https://turan.az/az/siyaset/abs-in-ardinca-almaniya-kiyevin-rusiyani-almaniya-silahlari-ile-vurmasina-icaze-verib
16,https://turan.az/az/cemiyyet/iyunda-azerbaycanda-hava-seraiti-iqlim-normasina-yaxin-olacaq
17,https://turan.az/az/siyaset/azerbaycan-ve-latviya-arasinda-strateji-dialoqun-iclasi-kecirilib
18,https://turan.az/az/cemiyyet/cop29-a-qeder-sulh-sazisi-imzalana-bilermi-781109
19,https://turan.az/az/siyaset/mehkeme-tofiq-yaqublunu-ev-dustaqligina-buraxmaqdan-imtina-edib
20,https://turan.az/az/makroiqtisadiyyat/strateji-yol-xeritesinin-hedef-indikatorlarinin-qiymetlendirilmesi-ekiz-kesirler-ve-qazanilmamis-pullarin-xerclenmesi-effektleri-781106
