,0
0,https://www.elheraldo.co/region/2024/08/18/el-impacto-en-el-caribe-de-dialogos-de-paz-con-el-egc-y-paras-de-la-sierra/
1,https://www.elheraldo.co/region/2024/08/30/piden-al-tribunal-del-atlantico-atender-el-clamor-del-caribe-ante-la-energia/
2,https://www.elheraldo.co/region/2024/08/16/judicializan-a-dos-sujetos-por-crimenes-en-contra-de-lideres-sociales/
3,https://www.elheraldo.co/region/2024/08/06/se-inicia-la-batalla-por-la-mojana-una-apuesta-por-soluciones/
4,https://www.elheraldo.co/region/2024/08/26/crisis-de-combustible-avianca-suspende-venta-de-tiquetes-a-la-region-caribe/
5,https://www.elheraldo.co/region/2024/08/15/tras-visita-tecnica-al-boquete-de-cara-e-gato-anuncian-nueva-reunion/
6,https://www.elheraldo.co/region/2024/08/09/el-pedido-de-la-mojana-a-mininterior-cerrar-cara-e-gato/
7,https://www.elheraldo.co/region/2024/08/20/inauguraron-comedor-escolar-en-comunidad-arhuaca/
8,https://www.elheraldo.co/region/2024/08/18/convocan-a-paro-civico-contra-altas-tarifas-de-energia/
9,https://www.elheraldo.co/region/2024/08/10/firmantes-de-paz-fortalecen-sus-asociaciones-con-intercambio-de-experiencias/
10,https://www.elheraldo.co/region/2024/08/06/alerta-naranja-en-el-mar-caribe-por-fuertes-lluvias/
11,https://www.elheraldo.co/region/2024/08/13/descubren-explotacion-ilegal-de-carbon-en-la-serrania-del-perija/
12,https://www.elheraldo.co/region/2024/08/13/carteles-del-clan-del-golfo-por-que-la-paz-total-no-ha-llegado-al-caribe/
13,https://www.elheraldo.co/region/2024/08/06/upc-lidera-proyecto-empresarial-en-el-caribe/
14,https://www.elheraldo.co/region/2024/08/03/pobreza-monetaria-sigue-bajando-en-la-costa-no-alcanza-niveles-prepandemia/
15,https://www.elheraldo.co/region/2024/08/24/pgn-advierte-riesgos-economicos-por-retrasos-en-obras-de-carceles-regionales/
16,https://www.elheraldo.co/region/2024/08/27/el-mayor-enemigo-de-usuarios-en-el-caribe-es-la-creg-alcalde-de-cartagena/
17,https://www.elheraldo.co/region/2024/09/05/gobernadores-de-cordoba-y-sucre-apoyan-decision-de-ungrd-sobre-cara-e-gato/
18,https://www.elheraldo.co/region/2024/09/09/bolivar-cordoba-y-sucre-beneficiados-con-proyectos-energeticos/
19,https://www.elheraldo.co/region-caribe/sucre/2024/09/17/abogado-de-los-presuntos-asesinos-de-ganadero-busca-acuerdo-con-fiscalia/
20,https://www.elheraldo.co/bolivar/2024/09/28/ataque-a-un-bus-de-transcaribe-en-cartagena-dejo-una-usuaria-herida/
21,https://www.elheraldo.co/region/sucre/2024/09/26/jose-chadid-estaria-oficiando-misas-ilicitamente-en-sucre/
22,https://www.elheraldo.co/region/2024/09/02/las-vias-bloqueadas-en-la-costa-por-protestas-de-camioneros-por-alza-del-acpm/
23,https://www.elheraldo.co/region/cesar/2024/09/20/el-tema-de-las-invasiones-continua-siendo-un-dolor-de-cabeza-para-las-autoridades-en-valledupar/
24,https://www.elheraldo.co/region/2024/09/07/pese-a-que-vias-del-caribe-se-normalizaron-el-paro-dejo-perdidas-millonarias/
25,https://www.elheraldo.co/bolivar/2024/09/27/sicarios-asesinaron-a-un-hombre-de-29-anos-en-el-barrio-nelson-mandela-de-cartagena/
26,https://www.elheraldo.co/region/bolivar/2024/09/19/cafe-del-mar-perdio-otra-batalla-juridica-en-cartagena/
27,https://www.elheraldo.co/region/2024/09/06/retorno-la-normalidad-en-las-vias-de-cordoba-y-sucre/
28,https://www.elheraldo.co/region/2024/09/10/con-proyectos-de-aunap-apoyan-a-familias-pesqueras-del-golfo-de-morrosquillo/
29,https://www.elheraldo.co/region/2024/09/04/jep-programa-audiencia-de-observaciones-para-victimas-de-tres-departamentos/
30,https://www.elheraldo.co/colombia/2024/09/29/murio-joven-turista-que-salvo-a-su-novia-de-las-llamas-durante-incendio-en-apartamento-de-santa-marta/
31,https://www.elheraldo.co/region-caribe/sucre/2024/09/16/maestros-de-sucre-no-descartan-movilizarse-por-la-crisis-del-sector-salud/
32,https://www.elheraldo.co/region-caribe/sucre/2024/09/17/en-corralejas-de-since-rinden-homenaje-a-victimas-de-la-masacre-en-cordoba/
33,https://www.elheraldo.co/bolivar/2024/09/30/video-adultos-mayores-se-agredieron-con-escobas-tras-discutir-por-basuras-en-calles-de-cartagena/
34,https://www.elheraldo.co/region/2024/09/06/victimas-de-falsos-positivos-en-el-caribe-hacen-reparos-a-los-testimonios/
35,https://www.elheraldo.co/magdalena/2024/09/29/en-santa-marta-liberan-2-manaties-que-estuvieron-a-punto-de-morir-en-el-mar/
36,https://www.elheraldo.co/magdalena/2024/09/27/capturan-a-mujer-que-ataco-a-su-pareja-con-un-tenedor-porque-se-fue-a-jugar-billar/
37,https://www.elheraldo.co/cesar/2024/10/22/escuela-indigena-de-valledupar-recibio-mejoramiento-de-infraestructura/
38,https://www.elheraldo.co/bolivar/2024/10/11/ratifican-condena-a-margareth-chacon-vinculada-en-el-asesinato-del-fiscal-pecci/
39,https://www.elheraldo.co/la-guajira/2024/10/31/mujer-muere-tras-accidente-de-transito-en-la-guajira/
40,https://www.elheraldo.co/bolivar/2024/10/24/desde-el-lunes-28-de-octubre-habra-vuelos-directos-de-cartagena-a-punta-cana/
41,https://www.elheraldo.co/cesar/2024/10/10/grave-accidente-de-transito-en-san-martin-cesar-deja-una-mujer-muerta/
42,https://www.elheraldo.co/cesar/2024/10/25/formulan-cargos-contra-expersonera-de-aguachica/
43,https://www.elheraldo.co/sucre/2024/10/26/la-fiscalia-pidio-carcel-para-la-exgerente-de-la-ese-de-sincelejo/
44,https://www.elheraldo.co/bolivar/2024/10/21/policia-lanza-cartel-de-los-10-mas-buscados-en-cartagena-y-ofrece-recompensa/
45,https://www.elheraldo.co/bolivar/2024/10/14/mas-de-18-mil-patacones-fueron-vendidos-en-la-feria-gastronomica-de-cartagena/
46,https://www.elheraldo.co/bolivar/2024/10/11/en-pinillos-bolivar-capturaron-a-presunto-miembro-del-clan-del-golfo/
47,https://www.elheraldo.co/atlantico/2024/10/30/alcalde-dumek-turbay-declara-tarde-civica-por-partido-del-real-cartagena/
48,https://www.elheraldo.co/cesar/2024/10/15/familiares-dan-el-ultimo-adios-a-ricardo-rodriguez-medico-ginecologo-asesinado-en-barrancas/
49,https://www.elheraldo.co/sucre/2024/10/08/caso-armando-rivero-fiscalia-pide-carcel-para-pareja-e-hijastro-del-rector-asesinado-en-sucre/
50,https://www.elheraldo.co/magdalena/2024/10/17/unimagdalena-con-registro-calificado-de-especializacion-en-medicina-interna/
51,https://www.elheraldo.co/la-guajira/2024/10/22/a-la-carcel-a-presunto-homicida-del-ginecologo-ricardo-rodriguez/
52,https://www.elheraldo.co/magdalena/2024/10/14/mas-de-28-mil-personas-votaran-virtualmente-para-terna-a-rectoria-en-unimagdalena/
53,https://www.elheraldo.co/bolivar/2024/10/07/capturan-a-sujeto-que-pretendia-llevar-a-escocia-1976-gramos-de-cocaina/
54,https://www.elheraldo.co/bolivar/2024/10/20/ojo-con-este-licor-allanan-laboratorio-en-cartagena-donde-se-adulteraban-botellas-de-whisky/
55,https://www.elheraldo.co/region/sucre/2024/10/27/asesinaron-de-ocho-balazos-a-una-mujer-en-sincelejo/
56,https://www.elheraldo.co/region/bolivar/2024/10/13/accidente-de-transito-deja-dos-muertos-en-el-sector-de-la-bascula-en-cartagena-moto-choco-contra-un-poste/
57,https://www.elheraldo.co/cesar/2024/10/27/lider-de-victimas-en-el-cesar-sufrio-atentado-a-bala/
58,https://www.elheraldo.co/sucre/2024/10/17/la-institucion-educativa-nino-jesus-de-praga-fue-galardonada-por-la-gobernacion/
59,https://www.elheraldo.co/la-guajira/2024/10/11/ofrecen-30-millones-de-recompensa-por-informacion-sobre-caso-de-comerciante-secuestrado/
60,https://www.elheraldo.co/cesar/2024/10/04/gobernadora-del-cesar-radico-proyectos-ante-la-asamblea-departamental/
61,https://www.elheraldo.co/region-caribe/sucre/2024/10/01/capturan-a-companera-sentimental-e-hijastro-de-docente-asesinado-en-sucre/
62,https://www.elheraldo.co/region/sucre/2024/10/09/magisterio-de-sucre-pide-intervencion-de-mineducacion-por-la-no-entrega-de-medicamentos/
63,https://www.elheraldo.co/cesar/2024/10/22/trabajador-de-drummond-fallecio-en-accidente-laboral/
64,https://www.elheraldo.co/bolivar/2024/10/11/capturaron-en-cartagena-a-hombres-que-atracaron-en-el-barrio-pie-de-la-popa/
65,https://www.elheraldo.co/la-guajira/2024/10/25/a-balazos-asesinaron-a-hombre-en-zona-rural-de-albania/
66,https://www.elheraldo.co/la-guajira/2024/10/07/autoridades-recuperan-vehiculo-hurtado-en-albania-la-guajira/
67,https://www.elheraldo.co/cesar/2024/10/02/vigilante-de-la-alcaldia-de-curumani-cesar-murio-electrocutado/
68,https://www.elheraldo.co/sucre/2024/10/30/hallan-en-san-onofre-sucre-una-caleta-con-mas-de-3-toneladas-de-cocaina/
69,https://www.elheraldo.co/la-guajira/2024/10/28/agricultor-fue-asesinado-a-bala-en-dibulla-la-guajira/
70,https://www.elheraldo.co/cesar/2024/10/24/tres-policias-fueron-capturados-en-pueblo-bello-cesar/
71,https://www.elheraldo.co/la-guajira/2024/10/11/procuraduria-convoca-a-segunda-mesa-de-seguimiento-por-carrotanques-de-la-guajira/
72,https://www.elheraldo.co/bolivar/2024/10/21/murio-hombre-que-se-accidento-mientras-evitaba-que-su-hijastra-fuera-raptada-en-cartagena/
73,https://www.elheraldo.co/cesar/2024/10/16/abogado-de-victimas-en-caso-del-medico-asesinado-pide-transparencia-en-el-proceso/
74,https://www.elheraldo.co/la-guajira/2024/10/30/mecanico-resulto-quemado-en-riohacha/
75,https://www.elheraldo.co/region/sucre/2024/10/11/precluyen-las-acciones-penales-del-cerebro-del-cartel-de-enfermos-mentales-de-sucre/
76,https://www.elheraldo.co/sucre/2024/10/02/con-musica-de-banda-y-globos-blancos-despidieron-a-fredy-beleno-en-sincelejo/
