,0
0,https://www.africanews.com/2024/08/15/turkeys-erdogan-welcomes-palestinian-president-mahmoud-abbas-in-ankara/
1,https://www.africanews.com/2024/08/21/israel-relatives-of-hostages-demand-ceasefire-deal-lament-deaths-in-captivity/
2,https://www.africanews.com/2024/08/09/somalia-to-end-indirect-voting-with-new-suffrage-bill/
3,https://www.africanews.com/2024/08/02/three-americans-back-in-the-us-after-landmark-russia-prisoner-deal/
4,https://www.africanews.com/2024/08/26/germany-to-donate-100000-mpox-vaccine-shots-to-contain-outbreak-in-africa/
5,https://www.africanews.com/2024/08/03/nigerians-continue-marches-against-cost-of-living-crisis/
6,https://www.africanews.com/2024/08/27/namibia-to-cull-over-700-wild-animals-including-83-elephants/
7,https://www.africanews.com/2024/08/08/nigeria-detains-students-for-allegedly-displaying-russian-flags-during-protest/
8,https://www.africanews.com/2024/08/09/mali-expels-swedish-ambassador-amid-strained-relations-with-the-west/
9,https://www.africanews.com/2024/08/29/who-europe-concerned-about-declining-condom-use-among-teens-worldwide/
10,https://www.africanews.com/2024/08/19/sian-proctor-on-inspiring-the-next-generation-of-astronauts/
11,https://www.africanews.com/2024/08/18/at-least-18-dead-in-an-israeli-airstrike-in-central-gaza/
12,https://www.africanews.com/2024/08/24/egypt-experiences-surge-in-the-number-of-refugees-fleeing-conflict/
13,https://www.africanews.com/2024/08/22/chad-schedules-legislative-provincial-and-municipal-elections-for-december-29/
14,https://www.africanews.com/2024/08/01/central-african-republic-and-kenya-confirm-outbreaks-of-mpox/
15,https://www.africanews.com/2024/08/20/plastic-pollution-experts-will-negotiate-a-treaty-behind-closed-doors/
16,https://www.africanews.com/2024/08/12/death-toll-rises-to-21-after-landfill-site-collapses-in-ugandas-capital/
17,https://www.africanews.com/2024/08/13/tunisias-honey-festival-celebrates-beekeepers-in-tough-times/
18,https://www.africanews.com/2024/08/13/security-crisis-in-haiti-limits-access-to-maternal-healthcare/
19,https://www.africanews.com/2024/08/27/mpox-strain-1b-in-focus-to-understand-lethality/
20,https://www.africanews.com/2024/08/09/japan-marks-79th-anniversary-of-nagasaki-atomic-bomb/
21,https://www.africanews.com/2024/08/19/malawis-main-opposition-party-endorses-peter-mutharika-as-its-flag-bearer/
22,https://www.africanews.com/2024/08/21/obamas-deliver-resounding-endorsement-of-vp-kamala-harris/
