,0
0,https://www.thestar.com.my/metro/metro-news/2024/06/24/stakeholders-want-vivekananda-ashram-gazetted-as-pcf-not-commercial-zone
1,https://www.thestar.com.my/metro/metro-news/2024/07/24/mbsj-urged-to-prune-trees-blocking-parking-bays-in-bandar-kinrara
2,https://www.thestar.com.my/metro/metro-news/2024/06/10/new-access-to-kerinchi-link-to-ease-congestion-in-desa-sri-hartamas
3,https://www.thestar.com.my/metro/metro-news/2024/06/27/sabahs-first-house-arrest-parolee-warns-youth-to-choose-friends-wisely-avoid-drugs
4,https://www.thestar.com.my/metro/metro-news/2024/07/22/lighting-up-orang-asli-village-in-gombak
5,https://www.thestar.com.my/opinion/columnists/citycism/2024/06/22/view-is-nice-but-high-rise-living-not-all-bed-of-roses
6,https://www.thestar.com.my/metro/metro-news/2024/06/17/apartments-rat-infestation-blamed-on-clogged-drains
7,https://www.thestar.com.my/metro/metro-news/2024/06/17/175-from-32-schools-attend-racewalking-clinic
8,https://www.thestar.com.my/metro/metro-news/2024/06/20/ensure-prices-dont-rise-in-sarawak-following-diesel-subsidy-rationalisation
9,https://www.thestar.com.my/metro/metro-news/2024/07/22/disaster-management-exercise-held-to-build-preparedness-in-sibu
10,https://www.thestar.com.my/metro/metro-news/2024/06/12/setapak-ppr-folk-protest-managements-mini-market-plan
11,https://www.thestar.com.my/metro/metro-news/2024/06/25/bazaar-sales-ministry-help-fund-associations-hospice-care-for-kids
12,https://www.thestar.com.my/metro/metro-news/2024/07/22/hair-and-blood-donation-campaign-in-melaka-a-boon-to-patients-in-need
13,https://www.thestar.com.my/metro/metro-news/2024/07/19/mstar-hosts-viewing-party-for-football-fans
14,https://www.thestar.com.my/metro/metro-news/2024/06/26/sg-bakap-seat-a-launchpad-for-political-success
15,https://www.thestar.com.my/food/food-news/2024/06/20/new-style-brews-at-kl-coffee-festival
16,https://www.thestar.com.my/news/nation/2024/07/23/source-of-sg-sembah-sg-kundang-odour-pollution-traced-to-leak-at-factory-recycling-acrylics
17,https://www.thestar.com.my/metro/metro-news/2024/06/17/mini-garden-emerges-from-former-ipoh-dumpsite
18,https://www.thestar.com.my/metro/metro-news/2024/06/05/shahman-jalaludin-is-selayang-municipal-councils-ninth-president
19,https://www.thestar.com.my/metro/metro-news/2024/07/18/putrajaya-annual-garden-festival-to-return-from-aug-21-to-sept-1
20,https://www.thestar.com.my/metro/metro-news/2024/06/08/winners-of-junior-badminton-event-off-to-catch-paris-olympics
21,https://www.thestar.com.my/metro/views/2024/06/14/vans-ideal-first--and-last-mile-boost-to-klang-valley-public-transport
22,https://www.thestar.com.my/metro/metro-news/2024/07/24/artistic-works-capture-china-malaysia-friendship
23,https://www.thestar.com.my/metro/metro-news/2024/06/06/call-for-participants
24,https://www.thestar.com.my/metro/metro-news/2024/06/11/platform-for-future-leaders
25,https://www.thestar.com.my/metro/metro-news/2024/06/20/superhero-themed-massage-chair-launched-for-fathers-day
26,https://www.thestar.com.my/metro/metro-news/2024/06/14/govt-urged-to-crack-down-on-migrant-run-businesses
27,https://www.thestar.com.my/metro/metro-news/2024/06/19/used-cooking-oil-recycling-mandate
28,https://www.thestar.com.my/metro/metro-news/2024/07/23/manjung-workshop-owner-taken-to-task-over-missing-quotation
29,https://www.thestar.com.my/metro/metro-news/2024/06/08/mpaj-rate-hike-objection-hearings-to-start-june-24
30,https://www.thestar.com.my/metro/metro-news/2024/07/24/selangor-launches-project-on-safe-disposal-of-ewaste
31,https://www.thestar.com.my/metro/metro-news/2024/06/18/form-committee-for-indian-traders
32,https://www.thestar.com.my/metro/metro-news/2024/06/20/tamin-centre-to-solve-residents-citizenship-school-enrolment-woes
33,https://www.thestar.com.my/metro/metro-news/2024/06/10/mp-uses-constituency-funds-for-schools-church
34,https://www.thestar.com.my/metro/metro-news/2024/06/08/plus-to-open-contraflow-lane-from-june-10-to-12-on-elite-highway-near-putrajaya
35,https://www.thestar.com.my/metro/metro-news/2024/06/22/recreational-space-at-mall-for-pj-folk
36,https://www.thestar.com.my/metro/metro-news/2024/06/11/breast-cancer-survivor-grateful-for-family-support-urges-women-to-stay-hopeful
37,https://www.thestar.com.my/metro/metro-news/2024/06/17/review-strata-management-act
38,https://www.thestar.com.my/metro/metro-news/2024/06/17/led-panel-screen-at-volleyball-stadium-touted-as-first-in-country
39,https://www.thestar.com.my/metro/metro-news/2024/06/11/ngos-join-forces-to-raise-awareness-of-climate-change
40,https://www.thestar.com.my/metro/metro-news/2024/06/10/penang-island-to-get-more-parks
41,https://www.thestar.com.my/metro/metro-news/2024/06/13/back-lane-makeover-a-blooming-success
42,https://www.thestar.com.my/metro/metro-news/2024/06/25/toy-library-a-treasure-trove-for-b40-in-lembah-subang
43,https://www.thestar.com.my/metro/metro-news/2024/06/06/new-public-housing-programme-on-the-cards
44,https://www.thestar.com.my/metro/metro-news/2024/06/07/stall-builds-structures-on-walkway
45,https://www.thestar.com.my/metro/metro-news/2024/06/25/building-safety-key-to-fate-of-40-year-old-rejang-park-market
46,https://www.thestar.com.my/metro/metro-news/2024/06/06/living-better-lives
47,https://www.thestar.com.my/metro/metro-news/2024/06/29/ready-to-spring-into-service-from-new-base
48,https://www.thestar.com.my/metro/metro-news/2024/06/24/vexed-by-vendors-turning-kl-walkways-into-mazes
49,https://www.thestar.com.my/metro/metro-news/2024/06/27/showcase-to-highlight-taiwans-sustainable-building-solutions
50,https://www.thestar.com.my/metro/metro-news/2024/06/28/hulu-klang-hub-set-up-to-inspire-change-in-mindset
51,https://www.thestar.com.my/metro/metro-news/2024/06/15/global-sports-spotlight-on-putrajaya
52,https://www.thestar.com.my/metro/community-sports/2024/06/20/young-champs-shine-at-global-golf-meet-in-sgor
53,https://www.thestar.com.my/metro/metro-news/2024/07/22/safety-awareness-in-tourism-sector-still-low-says-niosh
54,https://www.thestar.com.my/metro/metro-news/2024/06/27/diesel-relief-for-sabah-coincides-with-state-govts-fuel-up-partnership
55,https://www.thestar.com.my/metro/metro-news/2024/06/27/caring-pharmacy-unveils-mom-and-cutie-product-line
56,https://www.thestar.com.my/metro/metro-news/2024/07/23/families-find-eating-at-home-cheaper
57,https://www.thestar.com.my/metro/metro-news/2024/06/14/qr-codes-make-it-easier-for-public-to-donate-to-red-crescent
58,https://www.thestar.com.my/metro/metro-news/2024/06/24/education-confidence-lead-to-youths-cafe-success-despite-life-with-dyslexia
59,https://www.thestar.com.my/metro/metro-news/2024/06/11/celebration-brings-best-of-landscape-art-to-shah-alam
60,https://www.thestar.com.my/metro/metro-news/2024/06/29/july-d-day-for-shah-alam-stadium
61,https://www.thestar.com.my/metro/metro-news/2024/06/19/pj-steps-up-efforts-to-combat-dengue
62,https://www.thestar.com.my/metro/metro-news/2024/07/23/youths-debate-key-issues-affecting-ft
63,https://www.thestar.com.my/metro/metro-news/2024/06/08/patch-up-potholes-in-busy-commercial-area-in-sibu
64,https://www.thestar.com.my/metro/metro-news/2024/06/20/keeper-of-johors-rich-culture-and-heritage
65,https://www.thestar.com.my/food/food-news/2024/06/28/thai-buffet-awakens-taste-buds
66,https://www.thestar.com.my/metro/metro-news/2024/06/28/live-music-heats-up-second-half-of-2024
67,https://www.thestar.com.my/metro/metro-news/2024/07/22/state-looking-to-improve-bumiputra-contractors-income-through-training
68,https://www.thestar.com.my/metro/metro-news/2024/07/19/call-to-smoothen-path-for-micromobility-services
69,https://www.thestar.com.my/metro/metro-news/2024/06/08/900-sikh-athletes-gather-in-kl-for-sports-festival
70,https://www.thestar.com.my/metro/metro-news/2024/06/29/mpaj-squad-targets-tax-defaulters-collects-rm103mil-in-arrears
71,https://www.thestar.com.my/metro/metro-news/2024/06/24/unity-key-to-dj-daves-longevity
72,https://www.thestar.com.my/metro/metro-news/2024/06/29/taking-to-tortoises-to-unwind
73,https://www.thestar.com.my/metro/metro-news/2024/07/18/sikh-union-to-have-new-ballroom-sporting-facilities-in-ipoh-township
74,https://www.thestar.com.my/metro/metro-news/2024/06/04/recycling-efforts-gain-ground-in-seremban
75,https://www.thestar.com.my/metro/metro-news/2024/06/21/workshop-shares-soapmaking-income-tips-with-elderly-in-tapah
76,https://www.thestar.com.my/metro/metro-news/2024/07/24/varsity-and-hospitals-share-tcm-goals
77,https://www.thestar.com.my/metro/metro-news/2024/06/15/catalysing-research-to-elevate-national-healthcare
78,https://www.thestar.com.my/metro/metro-news/2024/07/24/village-chiefs-vow-to-use-platform-to-bring-change
79,https://www.thestar.com.my/metro/metro-news/2024/06/01/delving-into-unusual-career-paths
80,https://www.thestar.com.my/metro/metro-news/2024/06/01/penang-wants-20-tax-share-to-fuel-economy
81,https://www.thestar.com.my/metro/metro-news/2024/06/22/telco-offers-free-postal-drop-offin-ewaste-recycling-campaign
82,https://www.thestar.com.my/metro/metro-news/2024/06/17/developers-charity-arm-transforms-kajang-primary-school-with-rm18000
83,https://www.thestar.com.my/metro/metro-news/2024/06/15/focus-on-sustainable-development-of-kampung-sungai-melayu
84,https://www.thestar.com.my/metro/metro-news/2024/07/20/city-hall-says-not-part-of-decision-to-paint-over-mural-by-russian-artist
