,0
0,https://lajornadanet.com/regional/en-vivo-marcha-no-a-la-xenofobia-en-costa-rica/
1,https://lajornadanet.com/regional/imagenes-exitosa-marcha-contra-la-xenofobia-en-costa-rica/
2,0
3,https://lajornadanet.com/nicaragua/transmision-en-vivo-y-en-directo-cosep-se-pronuncia-ante-caos-politico-en-nicaragua/
4,https://lajornadanet.com/nicaragua/video-en-vivo-protestas-desde-la-upoli/
5,https://lajornadanet.com/varios/fotos-especialistas-nefrologos-de-taiwan-visitan-nicaragua/
6,https://lajornadanet.com/galeria/10-fotos-extranas-captadas-por-google/
7,https://lajornadanet.com/regional/datos-tse-de-el-salvador-presenta-resultados-preliminares-de-elecciones-2018/
8,https://lajornadanet.com/mexico/fotos-mexicanas-exigen-frenar-la-violencia-de-genero/
9,https://lajornadanet.com/costa-rica/no-es-broma-los-dias-que-prefieren-los-delincuentes-asaltar-en-costa-rica/
10,https://lajornadanet.com/regional/2-policias-capturados-con-10-mil-500-cordobas-en-villa-de-mayo-en-masaya/
11,https://lajornadanet.com/regional/en-vivo-caravana-vehicular-de-ciudadanos-rumbo-a-masaya/
12,https://lajornadanet.com/regional/marcha-de-las-flores-en-catarina-niquinohomo-y-los-pueblos-blancos/
13,https://lajornadanet.com/galeria/fotos-de-catarina-en-sus-fiestas-hipicas-el-20-de-noviembre/
14,https://lajornadanet.com/mundo/finding-the-best-japanese-online-casino-bonuses-in-2020/
15,https://lajornadanet.com/mundo/10-imagenes-muestran-la-desgarradora-tragedia-que-viven-los-civiles-palestinos-por-los-ataques-en-la-franja-de-gaza/
16,https://lajornadanet.com/mundo/migrantes-seran-devueltos-al-buque-alojamiento-bibby-stockholm-tras-el-brote-de-la-bacteria-legionela-en-el-agua/
