,0
0,https://mb.com.ph/2023/6/25/pcso-allots-p477-m-for-new-transport-vehicles-for-patients-2
1,https://mb.com.ph/2023/7/12/pbbm-vows-easier-processes-for-energy-investors
2,https://mb.com.ph/2023/7/18/kailangan-kayo-ng-ating-bansa-doh-urges-pinoy-nurses-to-work-in-ph
3,https://mb.com.ph/2023/8/3/boat-owner-boat-operator-group-charged-over-death-of-27-people-in-rizal-tragedy
4,https://mb.com.ph/2023/8/30/enforcement-of-revised-departure-formalities-for-travelers-abroad-suspended-iacat
5,https://mb.com.ph/2023/9/19/doj-to-recommend-to-malacanang-filing-of-cases-vs-china-on-harvest-destruction-of-coral-reefs-in-wps
6,https://mb.com.ph/2023/7/16/clustering-small-irrigation-groups-would-hasten-masagana-adoption-da
7,https://mb.com.ph/2023/6/27/cops-rescue-over-2-700-pinoys-foreigners-in-anti-human-trafficking-raids-in-las-pinas-pogo-compound
8,https://mb.com.ph/2023/7/8/sandigan-affirms-graft-conviction-of-ex-agriculture-regional-budget-officer
9,https://mb.com.ph/2023/8/22/29-foreigners-arrested-in-pogo-raid-set-for-court-arraignment-on-charges-of-violations-of-securities-regulations-code
10,https://mb.com.ph/2023/7/20/brewing-cyclone-may-affect-parts-of-luzon-in-coming-days-pagasa
11,https://mb.com.ph/2023/9/14/pnp-logs-over-16-k-cybercrime-cases-from-jan-to-aug-pnp
12,https://mb.com.ph/2023/6/8/teodoro-opposes-peace-talks-with-reds
13,https://mb.com.ph/2023/8/14/maintenance-works-at-naia-terminal-3-on-aug-15-but-no-flight-will-be-affected-miaa-assures
14,https://mb.com.ph/2023/8/15/jinggoy-questions-former-arroyo-admin-s-silence-on-west-ph-sea-issue
15,https://mb.com.ph/2023/9/19/live-selfies-now-mandated-under-sim-registration-act-ntc-dict-tells-senate-panel-1
16,https://mb.com.ph/2023/9/15/no-winners-for-major-lotto-draws-on-sept-15
17,https://mb.com.ph/2023/6/28/11-filipinos-affected-after-wagner-group-took-russian-city-dfa-official
18,https://mb.com.ph/2023/9/15/naia-to-be-world-class-airport-anew-under-ppp-scheme-modernization-says-transport-chief
19,https://mb.com.ph/2023/8/1/sakit-ng-kalingkingan-teves-situation-affecting-house-s-image-integrity-says-abante
20,https://mb.com.ph/2023/7/19/pnp-info-drive-on-pension-reform-for-cops-other-uniformed-personnel-working-well
21,https://mb.com.ph/2023/7/27/resist-external-interference-china-s-envoy-tells-ph
22,https://mb.com.ph/2023/7/13/coa-chastises-dot-on-p6-15-m-irregular-unnecessary-excessive-expenditures
23,https://mb.com.ph/2023/7/3/attacks-vs-journalists-news-outlets-erosion-of-press-freedom-chr
24,https://mb.com.ph/2023/9/1/san-agustin-church-celebrates-fiesta-of-our-lady-of-consolation-2023
