,0
0,https://lanacion.com.py/mundo/2024/11/19/union-europea-analizara-sanciones-contra-el-regimen-de-maduro/
1,https://lanacion.com.py/mundo/2024/11/09/el-voraz-incendio-mountain-amenaza-a-11000-edificios-en-california/
2,https://lanacion.com.py/mundo/2024/11/19/china-un-hombre-fue-detenido-tras-atropellar-a-varios-ninos-frente-a-una-escuela/
3,https://lanacion.com.py/mundo/2024/11/08/el-multimillonario-elon-musk-califico-al-canciller-aleman-olaf-scholz-como-un-bufon/
4,https://lanacion.com.py/mundo/2024/11/16/mas-de-medio-millon-de-filipinos-huyen-del-catastrofico-supertifon-man-yi-que-toco-tierra-hoy/
5,https://lanacion.com.py/mundo/2024/11/04/unidos-contra-el-convenio-mas-de-200-diputados-franceses-en-contra-de-acuerdo-ue-mercosur/
6,https://lanacion.com.py/mundo/2024/11/14/por-primera-vez-exrehenes-israelies-de-hamas-van-a-roma-donde-el-papa-los-recibio/
7,https://lanacion.com.py/mundo/2024/11/12/enfrentamiento-entre-reclusos-en-ecuador-deja-mas-de-una-docena-de-muertos-y-varios-heridos/
8,https://lanacion.com.py/mundo/2024/11/05/las-cifras-de-las-elecciones-estadounidenses/
9,https://lanacion.com.py/mundo/2024/11/14/analistas-politicos-aseguran-que-trump-forma-su-gabinete-enfocado-en-la-lealtad/
10,https://lanacion.com.py/mundo/2024/11/15/justicia-boliviana-dejo-fuera-a-evo-morales-de-la-cupula-del-partido-oficialista/
11,https://lanacion.com.py/mundo/2024/11/12/haiti-asume-segundo-mandatario-en-5-meses-ante-crisis-por-violencia/
12,https://lanacion.com.py/mundo/2024/11/16/presidentes-joe-biden-y-xi-jinping-se-reunen-por-ultima-vez-antes-de-que-asuma-trump/
13,https://lanacion.com.py/mundo/2024/11/14/francia-busca-bloquear-el-acuerdo-ue-mercosur-por-todos-los-medios/
14,https://lanacion.com.py/mundo/2024/11/17/polemico-insulto-de-la-esposa-de-lula-hacia-elon-musk-en-previa-del-g20/
15,https://lanacion.com.py/tendencias/2024/11/03/europa-detectan-quimicos-nocivos-en-285-productos-cosmeticos/
16,https://lanacion.com.py/mundo/2024/11/15/brasil-investiga-el-acto-terrorista-contra-el-supremo-tribunal-federal/
17,https://lanacion.com.py/mundo/2024/11/07/el-infierno-se-desata-en-california-y-miles-de-personas-son-evacuadas-por-voraz-incendio/
18,https://lanacion.com.py/mundo/2024/11/05/de-madrugada-recien-podria-surgir-un-ganador-en-las-elecciones-presidenciales-de-ee-uu/
19,https://lanacion.com.py/mundo/2024/11/13/el-salvador-familiares-de-presos-claman-por-una-prueba-de-vida/
20,https://lanacion.com.py/mundo/2024/11/01/partidarios-de-evo-morales-atacan-y-toman-cuartel-con-20-militares-dentro/
21,https://lanacion.com.py/mundo/2024/11/09/con-mas-de-200-muertos-valencia-manifiesta-hartazgo-con-los-politicos/
22,https://lanacion.com.py/mundo/2024/11/11/sector-afin-a-evo-morales-ratifica-su-candidatura-y-pide-liberar-a-detenidos-en-protestas/
23,https://lanacion.com.py/mundo/2024/11/20/como-si-no-bastaran-los-atacms-ahora-ucrania-dispara-misiles-britanicos-de-largo-alcance-a-rusia/
24,https://lanacion.com.py/mundo/2024/11/21/guerra-en-ucrania-rusia-dispara-por-primera-vez-un-misil-intercontinental/
25,https://lanacion.com.py/mundo/2024/11/17/un-g20-dividido-busca-dialogo-en-rio-de-janeiro/
26,https://lanacion.com.py/mundo/2024/11/14/cristina-kirchner-se-queda-sin-pension-de-privilegio-tras-condena-por-corrupcion/
27,https://lanacion.com.py/mundo/2024/11/21/crimenes-de-guerra-la-haya-emite-orden-de-captura-contra-el-primer-ministro-de-israel/
28,https://lanacion.com.py/mundo/2024/11/04/bolivia-evo-morales-acusa-al-gobierno-de-desestimar-su-propuesta-de-dialogo/
29,https://lanacion.com.py/mundo/2024/11/11/violencia-en-haiti-disparan-a-avion-de-ee-uu-que-estaba-aterrizando-en-el-aeropuerto/
30,https://lanacion.com.py/mundo/2024/11/14/the-guardian-y-la-vanguardia-dejan-de-publicar-contenidos-en-x/
31,https://lanacion.com.py/mundo/2024/11/08/zhurong-halla-indicios-de-un-enorme-y-desaparecido-oceano-marciano/
32,https://lanacion.com.py/mundo/2024/11/09/juez-rechaza-plan-de-biden-que-favorecia-a-migrantes-casados-con-estadounidenses/
33,https://lanacion.com.py/mundo/2024/11/13/solo-una-novia-pakistani-sobrevivio-en-accidente-de-bus-que-venia-de-su-boda/
34,https://lanacion.com.py/mundo/2024/11/12/dos-destructores-de-ee-uu-fueron-atacados-con-misiles-y-drones-a-la-salida-del-mar-rojo/
35,https://lanacion.com.py/mundo/2024/11/07/como-en-las-peliculas-43-monos-escapan-de-un-laboratorio-de-ee-uu-y-causan-alerta/
36,https://lanacion.com.py/mundo/2024/11/06/lideres-mundiales-felicitan-a-donald-trump-tras-su-victoria/
37,https://lanacion.com.py/mundo/2024/11/03/reyes-y-presidente-espanoles-fueron-recibidos-con-barro-e-insultos-en-zona-inundada/
38,https://lanacion.com.py/mundo/2024/11/07/temor-y-bravuconada-zelenski-advierte-a-europa-que-es-inaceptable-hacer-concesiones-a-rusia/
39,https://lanacion.com.py/mundo/2024/11/10/sismo-de-magnitud-59-sacude-la-costa-sureste-de-cuba/
40,https://lanacion.com.py/mundo/2024/11/13/encuentro-en-la-casa-blanca-bienvenido-de-nuevo-le-dice-biden-a-trump/
41,https://lanacion.com.py/mundo/2024/11/13/indice-de-inflacion-en-argentina-vuelve-a-ceder-y-baja-del-200-anual/
42,https://lanacion.com.py/mundo/2024/11/14/arrecian-catastrofes-climaticas-ahora-honduras-declara-alerta-roja-por-tormenta-sara/
43,https://lanacion.com.py/mundo/2024/11/01/trump-anuncio-publicamente-que-dara-un-cargo-al-exdemocrata-robert-f-kennedy-jr/
44,https://lanacion.com.py/mundo/2024/11/09/trump-sumo-301-grandes-electores-y-harris-226/
45,https://lanacion.com.py/mundo/2024/11/14/papa-francisco-insiste-en-impulsar-programas-de-proteccion-de-abusos-eficaces/
46,https://lanacion.com.py/mundo/2024/11/09/corea-del-norte-perturba-el-trafico-con-interferencias-del-gps/
47,https://lanacion.com.py/mundo/2024/11/09/venezuela-solicito-a-interpol-la-captura-de-edmundo-gonzalez/
48,https://lanacion.com.py/mundo/2024/11/21/presidente-de-nicaragua-plantea-una-reforma-para-el-control-total-del-poder/
49,https://lanacion.com.py/mundo/2024/11/06/cotizacion-del-bitcoin-se-dispara-y-supera-usd-75000-tras-victoria-de-trump/
50,https://lanacion.com.py/mundo/2024/11/19/lula-urge-a-la-cop29-a-llegar-a-acuerdos-sobre-el-clima/
51,https://lanacion.com.py/mundo/2024/11/05/argentina-gerardo-werthein-asume-como-nuevo-canciller/
52,https://lanacion.com.py/mundo/2024/11/16/ayuda-economica-de-ee-uu-a-ucrania-representa-mas-de-10-anos-el-pgn-de-paraguay/
53,https://lanacion.com.py/mundo/2024/11/06/trump-aventaja-a-harris-en-una-noche-electoral-de-infarto/
54,https://lanacion.com.py/mundo/2024/11/03/por-que-resultaron-tan-catastroficas-las-inundaciones-en-espana/
55,https://lanacion.com.py/mundo/2024/11/04/candidatos-cierran-sus-campanas-y-en-ee-uu-comienza-tensa-calma-antes-de-las-elecciones/
56,https://lanacion.com.py/mundo/2024/11/19/turba-enfurecida-lincha-a-padre-asesino-que-tiro-a-su-hija-de-5-anos-desde-un-tercer-piso-en-colombia/
57,https://lanacion.com.py/mundo/2024/11/13/el-senador-latino-marco-rubio-sera-el-nuevo-jefe-de-la-diplomacia-estadounidense/
58,https://lanacion.com.py/mundo/2024/11/12/ecuador-daniel-noboa-designa-vicepresidenta-interina-en-medio-de-crisis-politica/
59,https://lanacion.com.py/mundo/2024/11/13/condenado-a-muerte-en-ee-uu-realizo-un-concierto-de-jazz-por-telefono/
60,https://lanacion.com.py/mundo/2024/11/18/clima-guerras-y-la-vuelta-de-trump-marcan-la-apertura-de-la-cumbre-del-g20/
61,https://lanacion.com.py/mundo/2024/11/08/australia-prohibira-el-acceso-de-menores-de-16-anos-a-redes-sociales/
62,https://lanacion.com.py/mundo/2024/11/04/cinco-temas-cruciales-que-estan-en-juego-con-las-elecciones-en-ee-uu/
63,https://lanacion.com.py/mundo/2024/11/15/el-presidente-frances-visita-sudamerica-para-buscar-una-asociacion-estrategica/
64,https://lanacion.com.py/mundo/2024/11/15/biden-preocupado-porque-se-viene-un-cambio-politico-significativo/
65,https://lanacion.com.py/mundo/2024/11/02/harris-y-trump-salen-a-la-busqueda-del-voto-de-indecisos-en-la-recta-final-de-campana/
66,https://lanacion.com.py/mundo/2024/11/05/como-funcionan-las-elecciones-de-eeuu-que-permiten-ganar-con-menos-votantes/
67,https://lanacion.com.py/mundo/2024/11/05/trump-y-harris-enfrentan-sus-visiones-del-mundo/
68,https://lanacion.com.py/mundo/2024/11/12/informe-cepal-la-pobreza-en-america-latina-bajara-a-268-cifra-mas-baja-en-34-anos/
69,https://lanacion.com.py/mundo/2024/11/19/putin-firmo-hoy-decreto-de-uso-de-armas-nucleares-ante-ataque-con-misiles-de-largo-alcance/
70,https://lanacion.com.py/mundo/2024/11/14/moscu-reivindica-la-toma-de-otro-pueblo-en-el-este-de-ucrania/
71,https://lanacion.com.py/mundo/2024/11/13/un-profesor-ruso-enfrenta-20-anos-de-carcel-por-dibujar-cuernos-a-fotos-de-una-revista/
72,https://lanacion.com.py/mundo/2024/11/19/es-oficial-por-primera-vez-ee-uu-llama-a-gonzalez-urrutia-como-presidente-electo-de-venezuela/
73,https://lanacion.com.py/mundo/2024/11/08/la-discusion-que-enfrenta-a-milei-con-el-futbol-argentino-clubes-o-empresas/
74,https://lanacion.com.py/mundo/2024/11/15/las-discrepancias-sobre-el-acuerdo-ue-mercosur-que-preocupan-a-la-agricultura-europea/
