,url
0,https://www.sozcu.com.tr/2023/gundem/bakan-guler-bm-baris-gucunun-tek-tarafli-tutumu-kabul-edilemez-7780377/
1,https://www.sozcu.com.tr/2023/gundem/dustugu-kuyudan-4-saatte-kurtarilan-yamacin-annesi-umudumu-hic-kaybetmedim-7783067/
2,https://www.sozcu.com.tr/2023/gundem/imamoglu-vatandaslarimiz-icin-icraat-yapmaktan-baska-bir-hedefimiz-olmadi-7788189/
3,https://www.sozcu.com.tr/2023/gunun-icinden/arkadasini-pencereden-atti-hatirlamiyorum-dedi-7791614/
4,https://www.sozcu.com.tr/2023/gundem/siyasi-partiler-siyasethaneden-ziyade-ticarethaneye-donustu-7792223/
5,https://www.sozcu.com.tr/2023/gundem/bogazici-universitesi-kulupleri-odalarindan-cikartiliyor-7776857/
6,https://www.sozcu.com.tr/2023/teknoloji/avrupa-birliginden-googlea-sure-kati-kurallar-geliyor-7794864/
7,https://www.sozcu.com.tr/2023/gundem/istanbul-valisi-gulden-sabanci-ciftinin-saglik-durumlariyla-ilgili-aciklama-7784298/
8,https://www.sozcu.com.tr/2023/egitim/universitede-kisiye-ozel-atamalara-isyan-7790124/
9,https://www.sozcu.com.tr/2023/gundem/universiteli-nazli-ece-akilin-olum-nedeni-belli-oldu-7795379/
10,https://www.sozcu.com.tr/2023/teknoloji/google-konum-verilerini-kapatanlari-da-izlemis-7803403/
11,https://www.sozcu.com.tr/2023/gunun-icinden/d-100-kara-yolunda-arac-yogunlugu-7813012/
12,https://www.sozcu.com.tr/2023/dunya/kacak-turk-aileye-ayda-1500-euro-veriliyor-7812747/
13,https://www.sozcu.com.tr/spor/futbol/ajax-feyenoord-macinda-ortalik-karisti-taraftarlar-cildirdi-mac-tatil-edildi-7811470/
14,https://www.sozcu.com.tr/2023/egitim/yks-ek-tercih-ne-zaman-ek-tercihler-ucretli-mi-7795873/
15,https://www.sozcu.com.tr/spor/futbol/galatasaray-ile-trabzonspor-lige-101-kez-karsilasacak-7776421/
16,https://www.sozcu.com.tr/2023/teknoloji/prof-dr-aziz-sancar-basarisinin-sirrini-acikladi-7802977/
17,https://www.sozcu.com.tr/2023/gunun-icinden/yasa-disi-saka-kusu-avciligina-agir-ceza-7812033/
18,https://www.sozcu.com.tr/2023/gundem/leyla-ve-katili-tv-programinda-tartismis-7789848/
19,https://www.sozcu.com.tr/2023/dunya/yeni-kriz-yolda-bir-ulke-daha-israil-elciligini-kuduse-tasiyor-7774652/
20,https://www.sozcu.com.tr/2023/gundem/kiz-isteme-cinayeti-7785668/
21,https://www.sozcu.com.tr/spor/futbol/hakan-calhanoglu-elestirdi-ermenistani-ic-sahada-yenemiyorsan-7797405/
22,https://www.sozcu.com.tr/2023/gunun-icinden/canakkale-bogazinda-kadin-cesedi-bulundu-7794089/
23,https://www.sozcu.com.tr/2023/gunun-icinden/cami-lojmaninda-yangin-imamin-annesi-oldu-7789288/
24,https://www.sozcu.com.tr/spor/futbol/mason-greenwood-besiktasa-transfer-oluyor-mu-7786404/
25,https://www.sozcu.com.tr/2023/gunun-icinden/motosikletle-carpisan-otomobilin-surucusu-kacti-2-yarali-7816583/
26,https://www.sozcu.com.tr/spor/dunyadan-spor/mason-greenwood-manchester-uniteddan-getafeye-kiralik-transfer-oldu-7790754/
27,https://www.sozcu.com.tr/2023/teknoloji/cok-sik-goruluyor-eylul-ayinda-ruyada-orumcek-gormek-ne-anlama-geliyor-7803254/
