,0
0,https://www.iol.co.za/news/crime-and-courts/pay-back-the-money-woman-who-defrauded-aspiring-nurses-ordered-to-reimburse-her-victims-16b708f6-2f5b-4c11-95dd-7bcd653b2421
1,https://www.iol.co.za/thepost/news/post-merchants-number-9-on-the-durban-july-race-card-c5786616-c87e-497f-8292-71d289060dd2
2,https://www.iol.co.za/news/crime-and-courts/senseless-murder-organs-missing-on-body-of-murdered-man-found-near-filling-station-in-limpopo-9c87f569-b76b-44bd-bed6-2bd63ef31d2c
3,https://www.iol.co.za/sunday-tribune/news/overseas-trained-doctors-blocked-547e3af3-1bcc-4c39-9806-e1fff742a5a9
4,https://www.iol.co.za/the-star/news/create-jobs-to-curb-inequality-says-zille-8b26cfc2-7d74-433b-bbf8-47a688640d09
5,https://www.iol.co.za/the-star/news/sa-needs-credible-leaders-to-run-it-bosa-7dfed10b-6379-454c-b9a8-0faab9b055b0
6,https://www.iol.co.za/news/crime-and-courts/theft-of-r9-million-rhino-horns-r5000-bail-for-parks-and-tourism-board-official-linked-to-grand-looting-f95ba1b3-31d6-487e-a622-18d63b9d2a1a
7,https://www.iol.co.za/news/crime-and-courts/three-in-court-after-missing-woman-bonisiwe-mabuza-found-brutally-murdered-buried-in-shallow-grave-417fba78-7496-4613-af84-792016efb09d
8,https://www.iol.co.za/news/crime-and-courts/drug-dealer-sentenced-for-murdering-woman-by-dousing-her-with-petrol-d301f31c-b6a7-4b03-b595-6db31b4b5127
9,https://www.iol.co.za/capeargus/sport/proteas-women-missing-kapps-bowling-in-india-5c67b9cc-d188-43fc-aa31-fc124a3056e8
10,https://www.iol.co.za/news/crime-and-courts/westville-community-appeals-for-witnesses-after-resident-struck-in-hit-and-run-while-cheering-comrades-runners-8f706afc-aea6-423e-ab31-5022b43e62cf
11,https://www.iol.co.za/news/crime-and-courts/suspects-linked-to-spate-of-cash-in-transit-heists-killed-in-camperdown-kzn-0d87a3a3-557c-4cca-b74f-de3e7373f7e3
12,https://www.iol.co.za/news/crime-and-courts/man-who-hit-toddler-in-the-face-with-a-brick-sentenced-c8fc74a4-f6e9-497a-a02f-20c6aca2a427
13,https://www.iol.co.za/the-star/news/president-ramaphosa-mourns-passing-of-iranian-president-27b5500d-9049-4857-9d12-01cb064fdcba
14,https://www.iol.co.za/capetimes/opinion/jobless-youth-sas-future-at-stake-1db54594-c447-4784-8108-bf34ad231609
15,https://www.iol.co.za/news/crime-and-courts/nurses-robbed-of-their-groceries-cellphones-clothes-and-money-at-jane-furse-hospital-in-limpopo-41605b85-bcb9-40db-aa78-d813f2d952d8
16,https://www.iol.co.za/news/crime-and-courts/eastern-cape-police-clamp-down-on-cash-in-transit-robberies-and-illegal-firearms-56b12b59-aaa5-4900-af82-dc00c8e6890e
17,https://www.iol.co.za/capeargus/news/structural-engineers-provide-george-building-collapse-update-to-winde-9caa8784-e399-4180-aec5-7e4e0ef7dd05
