,0
0,https://www.timeslive.co.za/news/world/2024-05-16-bidens-personal-finances-little-changed-in-2023-documents-show/
1,https://www.timeslive.co.za/news/world/2024-05-30-us-nears-deal-to-fund-modernas-bird-flu-vaccine-trial/
2,https://www.timeslive.co.za/news/south-africa/2024-05-29-iec-update-voting-running-smoothly-delays-at-some-stations/
3,https://www.timeslive.co.za/news/world/2024-07-12-biden-mixes-up-harris-with-trump-insists-he-is-staying-in-the-presidential-race/
4,https://www.timeslive.co.za/news/world/2024-05-20-iranian-president-ebrahim-raisi-killed-in-helicopter-crash/
5,https://www.timeslive.co.za/news/africa/2024-05-02-nigeria-announces-up-to-35-pay-hike-for-government-workers/
6,https://www.timeslive.co.za/news/south-africa/2024-05-11-family-of-five-year-old-killed-during-car-hijacking-in-soshanguve-shattered-after-dad-hoped-to-get-help-at-hospital/
7,https://www.timeslive.co.za/news/sci-tech/2024-07-05-watch-scottish-students-get-up-close-with-ai-robot/
8,https://www.timeslive.co.za/news/world/2024-05-13-eunuch-maker-ringleader-jailed-for-penis-testicles-amputations/
9,https://www.timeslive.co.za/news/south-africa/2024-05-16-catholic-schools-contribute-much-to-education-in-sa-angie-motshekga/
10,https://www.timeslive.co.za/news/south-africa/2024-05-16-siu-fails-to-stop-payout-to-former-lepelle-northern-water-acting-ceo/
11,https://www.timeslive.co.za/news/south-africa/2024-07-17-man-rapes-neighbour-kills-man-and-plants-body-parts-at-womans-house/
12,https://www.timeslive.co.za/news/south-africa/2024-07-03-about-45000-punters-and-fashionistas-expected-to-spend-r270m-at-durban-july/
13,https://www.timeslive.co.za/news/south-africa/2024-07-16-allegations-have-not-been-proven-treasury-on-vbs-mutual-bank-allegations-against-dondo-mogajane/
14,https://www.timeslive.co.za/news/world/2024-05-25-more-than-300-buried-in-papua-new-guinea-landslide-local-media-says/
15,https://www.timeslive.co.za/news/south-africa/2024-05-07-numsa-obtains-order-to-restrain-sa-steel-mills-from-disciplining-workers/
16,https://www.timeslive.co.za/news/south-africa/2024-07-26-empathy-mutual-respect-must-be-taught-at-schools-to-overcome-prejudices-experts/
17,https://www.timeslive.co.za/news/world/2024-07-12-biden-makes-a-series-of-verbal-gaffes-at-nato-summit/
18,https://www.timeslive.co.za/news/africa/2024-05-23-us-expected-to-designate-kenya-as-major-non-nato-ally/
19,https://www.timeslive.co.za/news/africa/2024-05-24-biden-kenyas-ruto-pledge-to-protect-democracy-in-africa/
20,https://www.timeslive.co.za/news/world/2024-05-17-hugs-but-not-the-full-socialist-era-kiss-for-putin-xi-in-beijing/
21,https://www.timeslive.co.za/news/world/2024-06-06-czech-train-crash-kills-four-injures-more-than-20/
22,https://www.timeslive.co.za/news/world/2024-05-22-after-backlash-trump-pulls-social-media-post-with-reference-to-unified-reich/
23,https://www.timeslive.co.za/news/south-africa/2024-07-18-watch-live-governor-lesetja-kganyagos-repo-rate-announcement/
24,https://www.timeslive.co.za/news/2024-05-01-watch-global-citizen-now-aims-to-tackle-poverty-at-summit-in-new-york/
25,https://www.timeslive.co.za/news/world/2024-05-23-five-killed-in-mexico-after-stage-collapses-at-campaign-event/
26,https://www.timeslive.co.za/news/south-africa/2024-06-04-nosiviwe-mapisa-nqakula-to-study-docket-contents/
27,https://www.timeslive.co.za/news/sci-tech/2024-06-10-watch--amputee-turtles-fitted-with-gps-devices-and-released/
28,https://www.timeslive.co.za/news/world/2024-08-05-harris-interviews-walz-kelly-shapiro-at-her-home-for-vice-president-pick/
29,https://www.timeslive.co.za/news/south-africa/2024-07-14-two-cape-surf-skiers-safe-after-dramatic-four-hour-sea-rescue/
30,https://www.timeslive.co.za/news/south-africa/2024-05-06-we-will-respond-in-time-says-mayor-kabelo-gwamanda-after-city-found-liable-for-usindiso-fire/
31,https://www.timeslive.co.za/sunday-times-daily/news/2024-05-09-gross-misconduct-complainant-against-mlambo-offered-to-settle-with-jsc/
32,https://www.timeslive.co.za/news/south-africa/2024-08-01-madonsela-mkhwebane-defend-adetshinas-right-to-compete-in-miss-sa/
33,https://www.timeslive.co.za/news/world/2024-06-15-special-report-pentagon-ran-secret-anti-vax-campaign-to-undermine-china-during-pandemic/
34,https://www.timeslive.co.za/news/sci-tech/2024-08-02-indonesia-bans-search-engine-duckduckgo-on-gambling-pornography-concerns/
35,https://www.timeslive.co.za/news/south-africa/2024-08-11-deadline-for-gauteng-schools-online-admissions-extended-by-2-days/
36,https://www.timeslive.co.za/news/africa/2024-04-29-burkina-faso-suspends-more-foreign-media-over-killings-coverage/
37,https://www.timeslive.co.za/news/world/2024-05-07-knife-attack-kills-two-wounds-21-at-southwest-china-hospital/
38,https://www.timeslive.co.za/sunday-times-daily/news/2024-07-22-sa-submarine-deployed-on-a-special-mission--this-time-on-land/
39,https://www.timeslive.co.za/news/africa/2024-06-11-amnesty-international-says-nigerian-army-detains-girls-who-escape-from-boko-haram/
40,https://www.timeslive.co.za/news/south-africa/2024-04-30-in-pics-ngos-march-to-gauteng-health-department-demanding-prioritisation-of-cancer-treatment/
41,https://www.timeslive.co.za/news/world/2024-06-10-trump-tells-sweltering-rally-in-nevada-he-wont-tax-tips/
42,https://www.timeslive.co.za/news/world/2024-07-23-who-sees-high-risk-of-polio-virus-spreading-across-gaza-assessment-under-way/
43,https://www.timeslive.co.za/news/south-africa/2024-06-11-magashules-former-pa-moroadi-cholota-to-fight-extradition-from-us/
44,https://www.timeslive.co.za/news/world/2024-07-25-boeing-finalises-737-max-guilty-plea-deal-us-outlines-reasons/
45,https://www.timeslive.co.za/news/world/2024-07-15-nobel-laureates-urge-lukashenko-to-free-more-belarus-political-prisoners/
46,https://www.timeslive.co.za/news/south-africa/2024-07-12-rush-to-prevent-oil-spill-from-grounded-ship-off-west-coast/
47,https://www.timeslive.co.za/news/world/2024-07-30-two-children-killed-in-ferocious-knife-attack-uk-police-say/
48,https://www.timeslive.co.za/news/africa/2024-05-06-nigeria-cuts-back-electricity-sales-to-overseas-customers-to-boost-domestic-supply/
49,https://www.timeslive.co.za/news/south-africa/2024-07-12-npa-considering-legal-steps-over-vbs-affidavit-leak/
50,https://www.timeslive.co.za/news/south-africa/2024-07-16-search-on-for-missing-actor-pesa-pheko/
51,https://www.timeslive.co.za/news/south-africa/2024-07-24-legal-representation-issues-force-postponement-of-thabo-bester-case/
52,https://www.timeslive.co.za/news/world/2024-07-09-london-festival-showcases-the-variety-of-contemporary-clowning/
53,https://www.timeslive.co.za/news/south-africa/2024-07-26-stolen-vehicle-en-route-to-zimbabwe-recovered-in-limpopo/
54,https://www.timeslive.co.za/news/world/2024-06-20-biden-allies-raising-10m-to-challenge-trump-social-media-machine/
